feature,importance
num__watch_time_minutes,59.63689652576958
num__engagement_rate,3.2790429051939958
num__interaction_score,3.116948569796775
num__likes,2.5967938150056162
num__views,0.6982871696592379
num__comments,0.0
num__subscribers,0.0
num__video_length_minutes,0.0
num__likes_per_view,0.0
num__comments_per_view,0.0
num__watch_time_efficiency,0.0
num__subscriber_engagement_score,0.0
cat__category_Education,0.0
cat__category_Entertainment,0.0
cat__category_Gaming,0.0
cat__category_Lifestyle,0.0
cat__category_Music,0.0
cat__category_Tech,0.0
cat__device_Desktop,0.0
cat__device_Mobile,0.0
cat__device_Tablet,0.0
cat__device_Tv,0.0
cat__country_Au,0.0
cat__country_Ca,0.0
cat__country_De,0.0
cat__country_In,0.0
cat__country_Uk,0.0
cat__country_Us,0.0
